region;Departamento;Ciudad;codigo
Caribe;Atlántico;Barranquilla;8001
Caribe;Atlántico;Baranoa;8078
Caribe;Atlántico;Campo De La Cruz;8137
Caribe;Atlántico;Candelaria;8141
Caribe;Atlántico;Galapa;8296
Caribe;Atlántico;Juan De Acosta;8372
Caribe;Atlántico;Luruaco;8421
Caribe;Atlántico;Malambo;8433
Caribe;Atlántico;Manatí;8436
Caribe;Atlántico;Palmar De Varela;8520
Caribe;Atlántico;Piojó;8549
Caribe;Atlántico;Polonuevo;8558
Caribe;Atlántico;Ponedera;8560
Caribe;Atlántico;Puerto Colombia;8573
Caribe;Atlántico;Repelón;8606
Caribe;Atlántico;Sabanagrande;8634
Caribe;Atlántico;Sabanalarga;8638
Caribe;Atlántico;Santa Lucía;8675
Caribe;Atlántico;Santo Tomás;8685
Caribe;Atlántico;Soledad;8758
Caribe;Atlántico;Suan;8770
Caribe;Atlántico;Tubará;8832
Caribe;Atlántico;Usiacurí;8849
Caribe;Atlántico;Cartagena;13001
Caribe;Bolívar;Achí;13006
Caribe;Bolívar;Altos Del Rosario;13030
Caribe;Bolívar;Arenal;13042
Caribe;Bolívar;Arjona;13052
Caribe;Bolívar;Arroyohondo;13062
Caribe;Bolívar;Barranco De Loba;13074
Caribe;Bolívar;Calamar;13140
Caribe;Bolívar;Cantagallo;13160
Caribe;Bolívar;Cicuco;13188
Caribe;Bolívar;Córdoba;13212
Caribe;Bolívar;Clemencia;13222
Caribe;Bolívar;El Carmen De Bolívar;13244
Caribe;Bolívar;El Guamo;13248
Caribe;Bolívar;El Peñon;13268
Caribe;Bolívar;Hatillo De Loba;13300
Caribe;Bolívar;Magangué;13430
Caribe;Bolívar;Mahates;13433
Caribe;Bolívar;Margarita;13440
Caribe;Bolívar;María La Baja;13442
Caribe;Bolívar;Montecristo;13458
Caribe;Bolívar;Mompós;13468
Caribe;Bolívar;Morales;13473
Caribe;Bolívar;Norosí;13490
Caribe;Bolívar;Pinillos;13549
Caribe;Bolívar;Regidor;13580
Caribe;Bolívar;Río Viejo;13600
Caribe;Bolívar;San Cristóbal;13620
Caribe;Bolívar;San Estanislao;13647
Caribe;Bolívar;San Fernando;13650
Caribe;Bolívar;San Jacinto;13654
Caribe;Bolívar;San Jacinto Del Cauca;13655
Caribe;Bolívar;San Juan Nepomuceno;13657
Caribe;Bolívar;San Martín De Loba;13667
Caribe;Bolívar;San Pablo;13670
Caribe;Bolívar;Santa Catalina;13673
Caribe;Bolívar;Santa Rosa;13683
Caribe;Bolívar;Santa Rosa Del Sur;13688
Caribe;Bolívar;Simití;13744
Caribe;Bolívar;Soplaviento;13760
Caribe;Bolívar;Talaigua Nuevo;13780
Caribe;Bolívar;Tiquisio;13810
Caribe;Bolívar;Turbaco;13836
Caribe;Bolívar;Turbaná;13838
Caribe;Bolívar;Villanueva;13873
Caribe;Bolívar;Zambrano;13894
Caribe;Cesar;Valledupar;20001
Caribe;Cesar;Aguachica;20011
Caribe;Cesar;Agustín Codazzi;20013
Caribe;Cesar;Astrea;20032
Caribe;Cesar;Becerril;20045
Caribe;Cesar;Bosconia;20060
Caribe;Cesar;Chimichagua;20175
Caribe;Cesar;Chiriguaná;20178
Caribe;Cesar;Curumaní;20228
Caribe;Cesar;El Copey;20238
Caribe;Cesar;El Paso;20250
Caribe;Cesar;Gamarra;20295
Caribe;Cesar;González;20310
Caribe;Cesar;La Gloria;20383
Caribe;Cesar;La Jagua De Ibirico;20400
Caribe;Cesar;Manaure;20443
Caribe;Cesar;Pailitas;20517
Caribe;Cesar;Pelaya;20550
Caribe;Cesar;Pueblo Bello;20570
Caribe;Cesar;Río De Oro;20614
Caribe;Cesar;La Paz;20621
Caribe;Cesar;San Alberto;20710
Caribe;Cesar;San Diego;20750
Caribe;Cesar;San Martín;20770
Caribe;Cesar;Tamalameque;20787
Caribe;Córdoba;Montería;23001
Caribe;Córdoba;Ayapel;23068
Caribe;Córdoba;Buenavista;23079
Caribe;Córdoba;Canalete;23090
Caribe;Córdoba;Cereté;23162
Caribe;Córdoba;Chimá;23168
Caribe;Córdoba;Chinú;23182
Caribe;Córdoba;Ciénaga De Oro;23189
Caribe;Córdoba;Cotorra;23300
Caribe;Córdoba;La Apartada;23350
Caribe;Córdoba;Lorica;23417
Caribe;Córdoba;Los Córdobas;23419
Caribe;Córdoba;Momil;23464
Caribe;Córdoba;Montelíbano;23466
Caribe;Córdoba;Moñitos;23500
Caribe;Córdoba;Planeta Rica;23555
Caribe;Córdoba;Pueblo Nuevo;23570
Caribe;Córdoba;Puerto Escondido;23574
Caribe;Córdoba;Puerto Libertador;23580
Caribe;Córdoba;Purísima;23586
Caribe;Córdoba;Sahagún;23660
Caribe;Córdoba;San Andres Sotavento;23670
Caribe;Córdoba;San Antero;23672
Caribe;Córdoba;San Bernardo Del Viento;23675
Caribe;Córdoba;San Carlos;23678
Caribe;Córdoba;San José de Uré;23682
Caribe;Córdoba;San Pelayo;23686
Caribe;Córdoba;Tierralta;23807
Caribe;Córdoba;Tuchín;23815
Caribe;Córdoba;Valencia;23855
Caribe;La Guajira;Riohacha;44001
Caribe;La Guajira;Albania;44035
Caribe;La Guajira;Barrancas;44078
Caribe;La Guajira;Dibulla;44090
Caribe;La Guajira;Distracción;44098
Caribe;La Guajira;El Molino;44110
Caribe;La Guajira;Fonseca;44279
Caribe;La Guajira;Hatonuevo;44378
Caribe;La Guajira;La Jagua Del Pilar;44420
Caribe;La Guajira;Maicao;44430
Caribe;La Guajira;Manaure;44560
Caribe;La Guajira;San Juan Del Cesar;44650
Caribe;La Guajira;Uribia;44847
Caribe;La Guajira;Urumita;44855
Caribe;La Guajira;Villanueva;44874
Caribe;Magdalena;Santa Marta;47001
Caribe;Magdalena;Algarrobo;47030
Caribe;Magdalena;Aracataca;47053
Caribe;Magdalena;Ariguaní;47058
Caribe;Magdalena;Cerro San Antonio;47161
Caribe;Magdalena;Chivolo;47170
Caribe;Magdalena;Ciénaga;47189
Caribe;Magdalena;Concordia;47205
Caribe;Magdalena;El Banco;47245
Caribe;Magdalena;El Piñón;47258
Caribe;Magdalena;El Retén;47268
Caribe;Magdalena;Fundación;47288
Caribe;Magdalena;Guamal;47318
Caribe;Magdalena;Nueva Granada;47460
Caribe;Magdalena;Pedraza;47541
Caribe;Magdalena;Pijiño Del Carmen;47545
Caribe;Magdalena;Pivijay;47551
Caribe;Magdalena;Plato;47555
Caribe;Magdalena;Puebloviejo;47570
Caribe;Magdalena;Remolino;47605
Caribe;Magdalena;Sabanas De San Angel;47660
Caribe;Magdalena;Salamina;47675
Caribe;Magdalena;San Sebastián De Buenavista;47692
Caribe;Magdalena;San Zenón;47703
Caribe;Magdalena;Santa Ana;47707
Caribe;Magdalena;Santa Bárbara De Pinto;47720
Caribe;Magdalena;Sitionuevo;47745
Caribe;Magdalena;Tenerife;47798
Caribe;Magdalena;Zapayán;47960
Caribe;Magdalena;Zona Bananera;47980
Caribe;Sucre;Sincelejo;70001
Caribe;Sucre;Buenavista;70110
Caribe;Sucre;Caimito;70124
Caribe;Sucre;Coloso;70204
Caribe;Sucre;Corozal;70215
Caribe;Sucre;Coveñas;70221
Caribe;Sucre;Chalán;70230
Caribe;Sucre;El Roble;70233
Caribe;Sucre;Galeras;70235
Caribe;Sucre;Guaranda;70265
Caribe;Sucre;La Unión;70400
Caribe;Sucre;Los Palmitos;70418
Caribe;Sucre;Majagual;70429
Caribe;Sucre;Morroa;70473
Caribe;Sucre;Ovejas;70508
Caribe;Sucre;San Antonio de Palmito;70523
Caribe;Sucre;Sampués;70670
Caribe;Sucre;San Benito Abad;70678
Caribe;Sucre;San Juan Betulia;70702
Caribe;Sucre;San Marcos;70708
Caribe;Sucre;San Onofre;70713
Caribe;Sucre;San Pedro;70717
Caribe;Sucre;Sincé;70742
Caribe;Sucre;Sucre;70771
Caribe;Sucre;Tolú;70820
Caribe;Sucre;Toluviejo;70823
Caribe;San Andres y Providencia;San Andrés;88001
Caribe;San Andres y Providencia;Providencia;88564
Occidente;Antioquia;Medellín;5001
Occidente;Antioquia;Abejorral;5002
Occidente;Antioquia;Abriaquí;5004
Occidente;Antioquia;Alejandría;5021
Occidente;Antioquia;Amagá;5030
Occidente;Antioquia;Amalfi;5031
Occidente;Antioquia;Andes;5034
Occidente;Antioquia;Angelópolis;5036
Occidente;Antioquia;Angostura;5038
Occidente;Antioquia;Anorí;5040
Occidente;Antioquia;Santafé De Antioquia;5042
Occidente;Antioquia;Anza;5044
Occidente;Antioquia;Apartadó;5045
Occidente;Antioquia;Arboletes;5051
Occidente;Antioquia;Argelia;5055
Occidente;Antioquia;Armenia;5059
Occidente;Antioquia;Barbosa;5079
Occidente;Antioquia;Belmira;5086
Occidente;Antioquia;Bello;5088
Occidente;Antioquia;Betania;5091
Occidente;Antioquia;Betulia;5093
Occidente;Antioquia;Ciudad Bolívar;5101
Occidente;Antioquia;Briceño;5107
Occidente;Antioquia;Buriticá;5113
Occidente;Antioquia;Cáceres;5120
Occidente;Antioquia;Caicedo;5125
Occidente;Antioquia;Caldas;5129
Occidente;Antioquia;Campamento;5134
Occidente;Antioquia;Cañasgordas;5138
Occidente;Antioquia;Caracolí;5142
Occidente;Antioquia;Caramanta;5145
Occidente;Antioquia;Carepa;5147
Occidente;Antioquia;El Carmen De Viboral;5148
Occidente;Antioquia;Carolina;5150
Occidente;Antioquia;Caucasia;5154
Occidente;Antioquia;Chigorodó;5172
Occidente;Antioquia;Cisneros;5190
Occidente;Antioquia;Cocorná;5197
Occidente;Antioquia;Concepción;5206
Occidente;Antioquia;Concordia;5209
Occidente;Antioquia;Copacabana;5212
Occidente;Antioquia;Dabeiba;5234
Occidente;Antioquia;Don Matías;5237
Occidente;Antioquia;Ebéjico;5240
Occidente;Antioquia;El Bagre;5250
Occidente;Antioquia;Entrerrios;5264
Occidente;Antioquia;Envigado;5266
Occidente;Antioquia;Fredonia;5282
Occidente;Antioquia;Frontino;5284
Occidente;Antioquia;Giraldo;5306
Occidente;Antioquia;Girardota;5308
Occidente;Antioquia;Gómez Plata;5310
Occidente;Antioquia;Granada;5313
Occidente;Antioquia;Guadalupe;5315
Occidente;Antioquia;Guarne;5318
Occidente;Antioquia;Guatape;5321
Occidente;Antioquia;Heliconia;5347
Occidente;Antioquia;Hispania;5353
Occidente;Antioquia;Itagui;5360
Occidente;Antioquia;Ituango;5361
Occidente;Antioquia;Jardín;5364
Occidente;Antioquia;Jericó;5368
Occidente;Antioquia;La Ceja;5376
Occidente;Antioquia;La Estrella;5380
Occidente;Antioquia;La Pintada;5390
Occidente;Antioquia;La Unión;5400
Occidente;Antioquia;Liborina;5411
Occidente;Antioquia;Maceo;5425
Occidente;Antioquia;Marinilla;5440
Occidente;Antioquia;Montebello;5467
Occidente;Antioquia;Murindó;5475
Occidente;Antioquia;Mutata;5480
Occidente;Antioquia;Nariño;5483
Occidente;Antioquia;Necoclí;5490
Occidente;Antioquia;Nechí;5495
Occidente;Antioquia;Olaya;5501
Occidente;Antioquia;Peñol;5541
Occidente;Antioquia;Peque;5543
Occidente;Antioquia;Pueblorrico;5576
Occidente;Antioquia;Puerto Berrio;5579
Occidente;Antioquia;Puerto Nare;5585
Occidente;Antioquia;Puerto Triunfo;5591
Occidente;Antioquia;Remedios;5604
Occidente;Antioquia;Retiro;5607
Occidente;Antioquia;Rionegro;5615
Occidente;Antioquia;Sabanalarga;5628
Occidente;Antioquia;Sabaneta;5631
Occidente;Antioquia;Salgar;5642
Occidente;Antioquia;San Andres;5647
Occidente;Antioquia;San Carlos;5649
Occidente;Antioquia;San Francisco;5652
Occidente;Antioquia;San Jerónimo;5656
Occidente;Antioquia;San José de la Montaña;5658
Occidente;Antioquia;San Juan De Uraba;5659
Occidente;Antioquia;San Luis;5660
Occidente;Antioquia;San Pedro;5664
Occidente;Antioquia;San Pedro De Uraba;5665
Occidente;Antioquia;San Rafael;5667
Occidente;Antioquia;San Roque;5670
Occidente;Antioquia;San Vicente;5674
Occidente;Antioquia;Santa Bárbara;5679
Occidente;Antioquia;Santa Rosa De Osos;5686
Occidente;Antioquia;Santo Domingo;5690
Occidente;Antioquia;El Santuario;5697
Occidente;Antioquia;Segovia;5736
Occidente;Antioquia;Sonson;5756
Occidente;Antioquia;Sopetrán;5761
Occidente;Antioquia;Támesis;5789
Occidente;Antioquia;Tarazá;5790
Occidente;Antioquia;Tarso;5792
Occidente;Antioquia;Titiribí;5809
Occidente;Antioquia;Toledo;5819
Occidente;Antioquia;Turbo;5837
Occidente;Antioquia;Uramita;5842
Occidente;Antioquia;Urrao;5847
Occidente;Antioquia;Valdivia;5854
Occidente;Antioquia;Valparaíso;5856
Occidente;Antioquia;Vegachí;5858
Occidente;Antioquia;Venecia;5861
Occidente;Antioquia;Vigía Del Fuerte;5873
Occidente;Antioquia;Yalí;5885
Occidente;Antioquia;Yarumal;5887
Occidente;Antioquia;Yolombó;5890
Occidente;Antioquia;Yondó;5893
Occidente;Antioquia;Zaragoza;5895
Occidente;Caldas;Manizales;17001
Occidente;Caldas;Aguadas;17013
Occidente;Caldas;Anserma;17042
Occidente;Caldas;Aranzazu;17050
Occidente;Caldas;Belalcázar;17088
Occidente;Caldas;Chinchiná;17174
Occidente;Caldas;Filadelfia;17272
Occidente;Caldas;La Dorada;17380
Occidente;Caldas;La Merced;17388
Occidente;Caldas;Manzanares;17433
Occidente;Caldas;Marmato;17442
Occidente;Caldas;Marquetalia;17444
Occidente;Caldas;Marulanda;17446
Occidente;Caldas;Neira;17486
Occidente;Caldas;Norcasia;17495
Occidente;Caldas;Pácora;17513
Occidente;Caldas;Palestina;17524
Occidente;Caldas;Pensilvania;17541
Occidente;Caldas;Riosucio;17614
Occidente;Caldas;Risaralda;17616
Occidente;Caldas;Salamina;17653
Occidente;Caldas;Samaná;17662
Occidente;Caldas;San José;17665
Occidente;Caldas;Supía;17777
Occidente;Caldas;Victoria;17867
Occidente;Caldas;Villamaría;17873
Occidente;Caldas;Viterbo;17877
Occidente;Cauca;Popayán;19001
Occidente;Cauca;Almaguer;19022
Occidente;Cauca;Argelia;19050
Occidente;Cauca;Balboa;19075
Occidente;Cauca;Bolívar;19100
Occidente;Cauca;Buenos Aires;19110
Occidente;Cauca;Cajibío;19130
Occidente;Cauca;Caldono;19137
Occidente;Cauca;Caloto;19142
Occidente;Cauca;Corinto;19212
Occidente;Cauca;El Tambo;19256
Occidente;Cauca;Florencia;19290
Occidente;Cauca;Guachené;19300
Occidente;Cauca;Guapi;19318
Occidente;Cauca;Inzá;19355
Occidente;Cauca;Jambaló;19364
Occidente;Cauca;La Sierra;19392
Occidente;Cauca;La Vega;19397
Occidente;Cauca;López;19418
Occidente;Cauca;Mercaderes;19450
Occidente;Cauca;Miranda;19455
Occidente;Cauca;Morales;19473
Occidente;Cauca;Padilla;19513
Occidente;Cauca;Paez;19517
Occidente;Cauca;Patía;19532
Occidente;Cauca;Piamonte;19533
Occidente;Cauca;Piendamó;19548
Occidente;Cauca;Puerto Tejada;19573
Occidente;Cauca;Puracé;19585
Occidente;Cauca;Rosas;19622
Occidente;Cauca;San Sebastián;19693
Occidente;Cauca;Santander De Quilichao;19698
Occidente;Cauca;Santa Rosa;19701
Occidente;Cauca;Silvia;19743
Occidente;Cauca;Sotara;19760
Occidente;Cauca;Suárez;19780
Occidente;Cauca;Sucre;19785
Occidente;Cauca;Timbío;19807
Occidente;Cauca;Timbiquí;19809
Occidente;Cauca;Toribio;19821
Occidente;Cauca;Totoró;19824
Occidente;Cauca;Villa Rica;19845
Occidente;Chocó;Quibdó;27001
Occidente;Chocó;Acandí;27006
Occidente;Chocó;Alto Baudo;27025
Occidente;Chocó;Atrato;27050
Occidente;Chocó;Bagadó;27073
Occidente;Chocó;Bahía Solano;27075
Occidente;Chocó;Bajo Baudó;27077
Occidente;Chocó;Bojaya;27099
Occidente;Chocó;El Cantón Del San Pablo;27135
Occidente;Chocó;Carmen Del Darien;27150
Occidente;Chocó;Cértegui;27160
Occidente;Chocó;Condoto;27205
Occidente;Chocó;El Carmen De Atrato;27245
Occidente;Chocó;El Litoral Del San Juan;27250
Occidente;Chocó;Istmina;27361
Occidente;Chocó;Juradó;27372
Occidente;Chocó;Lloró;27413
Occidente;Chocó;Medio Atrato;27425
Occidente;Chocó;Medio Baudó;27430
Occidente;Chocó;Medio San Juan;27450
Occidente;Chocó;Nóvita;27491
Occidente;Chocó;Nuquí;27495
Occidente;Chocó;Río Iro;27580
Occidente;Chocó;Río Quito;27600
Occidente;Chocó;Riosucio;27615
Occidente;Chocó;San José Del Palmar;27660
Occidente;Chocó;Sipí;27745
Occidente;Chocó;Tadó;27787
Occidente;Chocó;Unguía;27800
Occidente;Chocó;Unión Panamericana;27810
Occidente;Chocó;Belen de Bajira;27086
Occidente;Nariño;Pasto;52001
Occidente;Nariño;Albán;52019
Occidente;Nariño;Aldana;52022
Occidente;Nariño;Ancuyá;52036
Occidente;Nariño;Arboleda;52051
Occidente;Nariño;Barbacoas;52079
Occidente;Nariño;Belén;52083
Occidente;Nariño;Buesaco;52110
Occidente;Nariño;Colón;52203
Occidente;Nariño;Consaca;52207
Occidente;Nariño;Contadero;52210
Occidente;Nariño;Cordoba;52215
Occidente;Nariño;Cuaspud;52224
Occidente;Nariño;Cumbal;52227
Occidente;Nariño;Cumbitara;52233
Occidente;Nariño;Chachagüí;52240
Occidente;Nariño;El Charco;52250
Occidente;Nariño;El Peñol;52254
Occidente;Nariño;El Rosario;52256
Occidente;Nariño;El Tablon;52258
Occidente;Nariño;El Tambo;52260
Occidente;Nariño;Funes;52287
Occidente;Nariño;Guachucal;52317
Occidente;Nariño;Guaitarilla;52320
Occidente;Nariño;Gualmatán;52323
Occidente;Nariño;Iles;52352
Occidente;Nariño;Imués;52354
Occidente;Nariño;Ipiales;52356
Occidente;Nariño;La Cruz;52378
Occidente;Nariño;La Florida;52381
Occidente;Nariño;La Llanada;52385
Occidente;Nariño;La Tola;52390
Occidente;Nariño;La Unión;52399
Occidente;Nariño;Leiva;52405
Occidente;Nariño;Linares;52411
Occidente;Nariño;Los Andes;52418
Occidente;Nariño;Magüi;52427
Occidente;Nariño;Mallama;52435
Occidente;Nariño;Mosquera;52473
Occidente;Nariño;Nariño;52480
Occidente;Nariño;Olaya Herrera;52490
Occidente;Nariño;Ospina;52506
Occidente;Nariño;Francisco Pizarro;52520
Occidente;Nariño;Policarpa;52540
Occidente;Nariño;Potosí;52560
Occidente;Nariño;Providencia;52565
Occidente;Nariño;Puerres;52573
Occidente;Nariño;Pupiales;52585
Occidente;Nariño;Ricaurte;52612
Occidente;Nariño;Roberto Payán;52621
Occidente;Nariño;Samaniego;52678
Occidente;Nariño;Sandoná;52683
Occidente;Nariño;San Bernardo;52685
Occidente;Nariño;San Lorenzo;52687
Occidente;Nariño;San Pablo;52693
Occidente;Nariño;San Pedro De Cartago;52694
Occidente;Nariño;Santa Barbara;52696
Occidente;Nariño;Santa Cruz;52699
Occidente;Nariño;Sapuyes;52720
Occidente;Nariño;Taminango;52786
Occidente;Nariño;Tangua;52788
Occidente;Nariño;Tumaco;52835
Occidente;Nariño;Túquerres;52838
Occidente;Nariño;Yacuanquer;52885
Occidente;Quindio;Armenia;63001
Occidente;Quindio;Buenavista;63111
Occidente;Quindio;Calarca;63130
Occidente;Quindio;Circasia;63190
Occidente;Quindio;Cordoba;63212
Occidente;Quindio;Filandia;63272
Occidente;Quindio;Génova;63302
Occidente;Quindio;La Tebaida;63401
Occidente;Quindio;Montenegro;63470
Occidente;Quindio;Pijao;63548
Occidente;Quindio;Quimbaya;63594
Occidente;Quindio;Salento;63690
Occidente;Risaralda;Pereira;66001
Occidente;Risaralda;Apía;66045
Occidente;Risaralda;Balboa;66075
Occidente;Risaralda;Belén De Umbría;66088
Occidente;Risaralda;Dos Quebradas;66170
Occidente;Risaralda;Guática;66318
Occidente;Risaralda;La Celia;66383
Occidente;Risaralda;La Virginia;66400
Occidente;Risaralda;Marsella;66440
Occidente;Risaralda;Mistrató;66456
Occidente;Risaralda;Pueblo Rico;66572
Occidente;Risaralda;Quinchía;66594
Occidente;Risaralda;Santa Rosa De Cabal;66682
Occidente;Risaralda;Santuario;66687
Occidente;Valle;Cali;76001
Occidente;Valle;Alcalá;76020
Occidente;Valle;Andalucía;76036
Occidente;Valle;Ansermanuevo;76041
Occidente;Valle;Argelia;76054
Occidente;Valle;Bolívar;76100
Occidente;Valle;Buenaventura;76109
Occidente;Valle;Buga;76111
Occidente;Valle;Bugalagrande;76113
Occidente;Valle;Caicedonia;76122
Occidente;Valle;Calima;76126
Occidente;Valle;Candelaria;76130
Occidente;Valle;Cartago;76147
Occidente;Valle;Dagua;76233
Occidente;Valle;El Águila;76243
Occidente;Valle;El Cairo;76246
Occidente;Valle;El Cerrito;76248
Occidente;Valle;El Dovio;76250
Occidente;Valle;Florida;76275
Occidente;Valle;Ginebra;76306
Occidente;Valle;Guacarí;76318
Occidente;Valle;Jamundí;76364
Occidente;Valle;La Cumbre;76377
Occidente;Valle;La Unión;76400
Occidente;Valle;La Victoria;76403
Occidente;Valle;Obando;76497
Occidente;Valle;Palmira;76520
Occidente;Valle;Pradera;76563
Occidente;Valle;Restrepo;76606
Occidente;Valle;Riofrío;76616
Occidente;Valle;Roldanillo;76622
Occidente;Valle;San Pedro;76670
Occidente;Valle;Sevilla;76736
Occidente;Valle;Toro;76823
Occidente;Valle;Trujillo;76828
Occidente;Valle;Tuluá;76834
Occidente;Valle;Ulloa;76845
Occidente;Valle;Versalles;76863
Occidente;Valle;Vijes;76869
Occidente;Valle;Yotoco;76890
Occidente;Valle;Yumbo;76892
Occidente;Valle;Zarzal;76895
Centro Oriente;Boyacá;Tunja;15001
Centro Oriente;Boyacá;Almeida;15022
Centro Oriente;Boyacá;Aquitania;15047
Centro Oriente;Boyacá;Arcabuco;15051
Centro Oriente;Boyacá;Belén;15087
Centro Oriente;Boyacá;Berbeo;15090
Centro Oriente;Boyacá;Betéitiva;15092
Centro Oriente;Boyacá;Boavita;15097
Centro Oriente;Boyacá;Boyacá;15104
Centro Oriente;Boyacá;Briceño;15106
Centro Oriente;Boyacá;Buenavista;15109
Centro Oriente;Boyacá;Busbanzá;15114
Centro Oriente;Boyacá;Caldas;15131
Centro Oriente;Boyacá;Campohermoso;15135
Centro Oriente;Boyacá;Cerinza;15162
Centro Oriente;Boyacá;Chinavita;15172
Centro Oriente;Boyacá;Chiquinquirá;15176
Centro Oriente;Boyacá;Chiscas;15180
Centro Oriente;Boyacá;Chita;15183
Centro Oriente;Boyacá;Chitaraque;15185
Centro Oriente;Boyacá;Chivatá;15187
Centro Oriente;Boyacá;Ciénega;15189
Centro Oriente;Boyacá;Cómbita;15204
Centro Oriente;Boyacá;Coper;15212
Centro Oriente;Boyacá;Corrales;15215
Centro Oriente;Boyacá;Covarachía;15218
Centro Oriente;Boyacá;Cubará;15223
Centro Oriente;Boyacá;Cucaita;15224
Centro Oriente;Boyacá;Cuitiva;15226
Centro Oriente;Boyacá;Chíquiza;15232
Centro Oriente;Boyacá;Chivor;15236
Centro Oriente;Boyacá;Duitama;15238
Centro Oriente;Boyacá;El Cocuy;15244
Centro Oriente;Boyacá;El Espino;15248
Centro Oriente;Boyacá;Firavitoba;15272
Centro Oriente;Boyacá;Floresta;15276
Centro Oriente;Boyacá;Gachantivá;15293
Centro Oriente;Boyacá;Gameza;15296
Centro Oriente;Boyacá;Garagoa;15299
Centro Oriente;Boyacá;Guacamayas;15317
Centro Oriente;Boyacá;Guateque;15322
Centro Oriente;Boyacá;Guayatá;15325
Centro Oriente;Boyacá;Güicán;15332
Centro Oriente;Boyacá;Iza;15362
Centro Oriente;Boyacá;Jenesano;15367
Centro Oriente;Boyacá;Jerico;15368
Centro Oriente;Boyacá;Labranzagrande;15377
Centro Oriente;Boyacá;La Capilla;15380
Centro Oriente;Boyacá;La Victoria;15401
Centro Oriente;Boyacá;La Uvita;15403
Centro Oriente;Boyacá;Villa De Leyva;15407
Centro Oriente;Boyacá;Macanal;15425
Centro Oriente;Boyacá;Maripí;15442
Centro Oriente;Boyacá;Miraflores;15455
