Actor;Entidad
Municipal;RÍO VIEJO - BOLÍVAR
Municipal;RIOBLANCO - TOLIMA
Municipal;RIOFRÍO - VALLE DEL CAUCA
Municipal;RIOHACHA - LA GUAJIRA
Municipal;RIONEGRO - ANTIOQUIA
Municipal;RIONEGRO - SANTANDER
Municipal;RIOSUCIO - CALDAS
Municipal;RIOSUCIO - CHOCÓ
Municipal;RISARALDA - CALDAS
Municipal;RIVERA - HUILA
Municipal;ROBERTO PAYÁN - NARIÑO
Municipal;ROLDANILLO - VALLE DEL CAUCA
Municipal;RONCESVALLES - TOLIMA
Municipal;RONDÓN - BOYACÁ
Municipal;ROSAS - CAUCA
Municipal;ROVIRA - TOLIMA
Municipal;SABANA DE TORRES - SANTANDER
Municipal;SABANAGRANDE - ATLÁNTICO
Municipal;SABANALARGA - ANTIOQUIA
Municipal;SABANALARGA - ATLÁNTICO
Municipal;SABANALARGA - CASANARE
Municipal;SABANAS DE SAN ÁNGEL - MAGDALENA
Municipal;SABANETA - ANTIOQUIA
Municipal;SABOYÁ - BOYACÁ
Municipal;SÁCAMA - CASANARE
Municipal;SÁCHICA - BOYACÁ
Municipal;SAHAGÚN - CÓRDOBA
Municipal;SALADOBLANCO - HUILA
Municipal;SALAMINA - CALDAS
Municipal;SALAMINA - MAGDALENA
Municipal;SALAZAR - NORTE DE SANTANDER
Municipal;SALDAÑA - TOLIMA
Municipal;SALENTO - QUINDIO
Municipal;SALGAR - ANTIOQUIA
Municipal;SAMACÁ - BOYACÁ
Municipal;SAMANÁ - CALDAS
Municipal;SAMANIEGO - NARIÑO
Municipal;SAMPUÉS - SUCRE
Municipal;SAN AGUSTÍN - HUILA
Municipal;SAN ALBERTO - CESAR
Municipal;SAN ANDRÉS - SAN ANDRÉS
Municipal;SAN ANDRÉS - SANTANDER
Municipal;SAN ANDRÉS DE CUERQUÍA - ANTIOQUIA
Municipal;SAN ANDRÉS DE SOTAVENTO - CÓRDOBA
Municipal;SAN ANDRÉS DE TUMACO - NARIÑO
Municipal;SAN ANTERO - CÓRDOBA
Municipal;SAN ANTONIO - TOLIMA
Municipal;SAN ANTONIO DEL TEQUENDAMA - CUNDINAMARCA
Municipal;SAN BENITO - SANTANDER
Municipal;SAN BENITO ABAD - SUCRE
Municipal;SAN BERNARDO - CUNDINAMARCA
Municipal;SAN BERNARDO - NARIÑO
Municipal;SAN BERNARDO DEL VIENTO - CÓRDOBA
Municipal;SAN CALIXTO - NORTE DE SANTANDER
Municipal;SAN CARLOS - ANTIOQUIA
Municipal;SAN CARLOS - CÓRDOBA
Municipal;SAN CARLOS DE GUAROA - META
Municipal;SAN CAYETANO - CUNDINAMARCA
Municipal;SAN CAYETANO - NORTE DE SANTANDER
Municipal;SAN CRISTÓBAL - BOLÍVAR
Municipal;SAN DIEGO - CESAR
Municipal;SAN EDUARDO - BOYACÁ
Municipal;SAN ESTANISLAO - BOLÍVAR
Municipal;SAN FELIPE - GUAINÍA
Municipal;SAN FERNANDO - BOLÍVAR
Municipal;SAN FRANCISCO - ANTIOQUIA
Municipal;SAN FRANCISCO - CUNDINAMARCA
Municipal;SAN FRANCISCO - PUTUMAYO
Municipal;SAN GIL - SANTANDER
Municipal;SAN JACINTO - BOLÍVAR
Municipal;SAN JACINTO DEL CAUCA - BOLÍVAR
Municipal;SAN JERÓNIMO - ANTIOQUIA
Municipal;SAN JOAQUÍN - SANTANDER
Municipal;SAN JOSÉ - CALDAS
Municipal;SAN JOSÉ DE CÚCUTA - NORTE DE SANTANDER
Municipal;SAN JOSÉ DE LA MONTAÑA - ANTIOQUIA
Municipal;SAN JOSÉ DE MIRANDA - SANTANDER
Municipal;SAN JOSÉ DE PARE - BOYACÁ
Municipal;SAN JOSÉ DE TOLUVIEJO - SUCRE
Municipal;SAN JOSÉ DE URÉ - CÓRDOBA
Municipal;SAN JOSÉ DEL FRAGUA - CAQUETÁ
Municipal;SAN JOSÉ DEL GUAVIARE - GUAVIARE
Municipal;SAN JOSÉ DEL PALMAR - CHOCÓ
Municipal;SAN JUAN DE ARAMA - META
Municipal;SAN JUAN DE BETULIA - SUCRE
Municipal;SAN JUAN DE RIOSECO - CUNDINAMARCA
Municipal;SAN JUAN DE URABÁ - ANTIOQUIA
Municipal;SAN JUAN DEL CESAR - LA GUAJIRA
Municipal;SAN JUAN NEPOMUCENO - BOLÍVAR
Municipal;SAN JUANITO - META
Municipal;SAN LORENZO - NARIÑO
Municipal;SAN LUIS - ANTIOQUIA
Municipal;SAN LUIS - TOLIMA
Municipal;SAN LUIS DE GACENO - BOYACÁ
Municipal;SAN LUIS DE PALENQUE - CASANARE
Municipal;SAN LUIS DE SINCÉ - SUCRE
Municipal;SAN MARCOS - SUCRE
Municipal;SAN MARTÍN - CESAR
Municipal;SAN MARTÍN - META
Municipal;SAN MARTÍN DE LOBA - BOLÍVAR
Municipal;SAN MATEO - BOYACÁ
Municipal;SAN MIGUEL - PUTUMAYO
Municipal;SAN MIGUEL - SANTANDER
Municipal;SAN MIGUEL DE SEMA - BOYACÁ
Municipal;SAN ONOFRE - SUCRE
Municipal;SAN PABLO - BOLÍVAR
Municipal;SAN PABLO - NARIÑO
Municipal;SAN PABLO DE BORBUR - BOYACÁ
Municipal;SAN PEDRO - SUCRE
Municipal;SAN PEDRO - VALLE DEL CAUCA
Municipal;SAN PEDRO DE CARTAGO - NARIÑO
Municipal;SAN PEDRO DE LOS MILAGROS - ANTIOQUIA
Municipal;SAN PEDRO DE URABÁ - ANTIOQUIA
Municipal;SAN PELAYO - CÓRDOBA
Municipal;SAN RAFAEL - ANTIOQUIA
Municipal;SAN ROQUE - ANTIOQUIA
Municipal;SAN SEBASTIÁN - CAUCA
Municipal;SAN SEBASTIÁN DE BUENAVISTA - MAGDALENA
Municipal;SAN SEBASTIÁN DE MARIQUITA - TOLIMA
Municipal;SAN VICENTE DE CHUCURÍ - SANTANDER
Municipal;SAN VICENTE DEL CAGUÁN - CAQUETÁ
Municipal;SAN VICENTE FERRER - ANTIOQUIA
Municipal;SAN ZENÓN - MAGDALENA
Municipal;SANDONÁ - NARIÑO
Municipal;SANTA ANA - MAGDALENA
Municipal;SANTA BÁRBARA - ANTIOQUIA
Municipal;SANTA BÁRBARA - NARIÑO
Municipal;SANTA BÁRBARA - SANTANDER
Municipal;SANTA BÁRBARA DE PINTO - MAGDALENA
Municipal;SANTA CATALINA - BOLÍVAR
Municipal;SANTA CRUZ DE MOMPOX - BOLÍVAR
Municipal;SANTA FÉ DE ANTIOQUIA - ANTIOQUIA
Municipal;SANTA HELENA DEL OPÓN - SANTANDER
Municipal;SANTA ISABEL - TOLIMA
Municipal;SANTA LUCÍA - ATLÁNTICO
Municipal;SANTA MARÍA - BOYACÁ
Municipal;SANTA MARÍA - HUILA
Municipal;SANTA MARTA - MAGDALENA
Municipal;SANTA ROSA - BOLÍVAR
Municipal;SANTA ROSA - CAUCA
Municipal;SANTA ROSA DE CABAL - RISARALDA
Municipal;SANTA ROSA DE OSOS - ANTIOQUIA
Municipal;SANTA ROSA DE VITERBO - BOYACÁ
Municipal;SANTA ROSA DEL SUR - BOLÍVAR
Municipal;SANTA ROSALÍA - VICHADA
Municipal;SANTA SOFÍA - BOYACÁ
Municipal;SANTACRUZ - NARIÑO
Municipal;SANTANA - BOYACÁ
Municipal;SANTANDER DE QUILICHAO - CAUCA
Municipal;SANTIAGO - NORTE DE SANTANDER
Municipal;SANTIAGO - PUTUMAYO
Municipal;SANTIAGO DE CALI - VALLE DEL CAUCA
Municipal;SANTIAGO DE TOLÚ - SUCRE
Municipal;SANTO DOMINGO - ANTIOQUIA
Municipal;SANTO TOMÁS - ATLÁNTICO
Municipal;SANTUARIO - RISARALDA
Municipal;SAPUYES - NARIÑO
Municipal;SARAVENA - ARAUCA
Municipal;SARDINATA - NORTE DE SANTANDER
Municipal;SASAIMA - CUNDINAMARCA
Municipal;SATIVANORTE - BOYACÁ
Municipal;SATIVASUR - BOYACÁ
Municipal;SEGOVIA - ANTIOQUIA
Municipal;SESQUILÉ - CUNDINAMARCA
Municipal;SEVILLA - VALLE DEL CAUCA
Municipal;SIACHOQUE - BOYACÁ
Municipal;SIBATÉ - CUNDINAMARCA
Municipal;SIBUNDOY - PUTUMAYO
Municipal;SILOS - NORTE DE SANTANDER
Municipal;SILVANIA - CUNDINAMARCA
Municipal;SILVIA - CAUCA
Municipal;SIMACOTA - SANTANDER
Municipal;SIMIJACA - CUNDINAMARCA
Municipal;SIMITÍ - BOLÍVAR
Municipal;SINCELEJO - SUCRE
Municipal;SIPÍ - CHOCÓ
Municipal;SITIONUEVO - MAGDALENA
Municipal;SOACHA - CUNDINAMARCA
Municipal;SOATÁ - BOYACÁ
Municipal;SOCHA - BOYACÁ
Municipal;SOCORRO - SANTANDER
Municipal;SOCOTÁ - BOYACÁ
Municipal;SOGAMOSO - BOYACÁ
Municipal;SOLANO - CAQUETÁ
Municipal;SOLEDAD - ATLÁNTICO
Municipal;SOLITA - CAQUETÁ
Municipal;SOMONDOCO - BOYACÁ
Municipal;SONSÓN - ANTIOQUIA
Municipal;SOPETRÁN - ANTIOQUIA
Municipal;SOPLAVIENTO - BOLÍVAR
Municipal;SOPÓ - CUNDINAMARCA
Municipal;SORA - BOYACÁ
Municipal;SORACÁ - BOYACÁ
Municipal;SOTAQUIRÁ - BOYACÁ
Municipal;SOTARÁ - PAISPAMBA - CAUCA
Municipal;SUAITA - SANTANDER
Municipal;SUAN - ATLÁNTICO
Municipal;SUÁREZ - CAUCA
Municipal;SUÁREZ - TOLIMA
Municipal;SUAZA - HUILA
Municipal;SUBACHOQUE - CUNDINAMARCA
Municipal;SUCRE - CAUCA
Municipal;SUCRE - SANTANDER
Municipal;SUCRE - SUCRE
Municipal;SUESCA - CUNDINAMARCA
Municipal;SUPATÁ - CUNDINAMARCA
Municipal;SUPÍA - CALDAS
Municipal;SURATÁ - SANTANDER
Municipal;SUSA - CUNDINAMARCA
Municipal;SUSACÓN - BOYACÁ
Municipal;SUTAMARCHÁN - BOYACÁ
Municipal;SUTATAUSA - CUNDINAMARCA
Municipal;SUTATENZA - BOYACÁ
Municipal;TABIO - CUNDINAMARCA
Municipal;TADÓ - CHOCÓ
Municipal;TALAIGUA NUEVO - BOLÍVAR
Municipal;TAMALAMEQUE - CESAR
Municipal;TÁMARA - CASANARE
Municipal;TAME - ARAUCA
Municipal;TÁMESIS - ANTIOQUIA
Municipal;TAMINANGO - NARIÑO
Municipal;TANGUA - NARIÑO
Municipal;TARAIRA - VAUPÉS
Municipal;TARAPACÁ - AMAZONAS
Municipal;TARAZÁ - ANTIOQUIA
Municipal;TARQUI - HUILA
Municipal;TARSO - ANTIOQUIA
Municipal;TASCO - BOYACÁ
Municipal;TAURAMENA - CASANARE
Municipal;TAUSA - CUNDINAMARCA
Municipal;TELLO - HUILA
Municipal;TENA - CUNDINAMARCA
Municipal;TENERIFE - MAGDALENA
Municipal;TENJO - CUNDINAMARCA
Municipal;TENZA - BOYACÁ
Municipal;TEORAMA - NORTE DE SANTANDER
Municipal;TERUEL - HUILA
Municipal;TESALIA - HUILA
Municipal;TIBACUY - CUNDINAMARCA
Municipal;TIBANÁ - BOYACÁ
Municipal;TIBASOSA - BOYACÁ
Municipal;TIBIRITA - CUNDINAMARCA
Municipal;TIBÚ - NORTE DE SANTANDER
Municipal;TIERRALTA - CÓRDOBA
Municipal;TIMANÁ - HUILA
Municipal;TIMBÍO - CAUCA
Municipal;TIMBIQUÍ - CAUCA
Municipal;TINJACÁ - BOYACÁ
Municipal;TIPACOQUE - BOYACÁ
Municipal;TIQUISIO - BOLÍVAR
Municipal;TITIRIBÍ - ANTIOQUIA
Municipal;TOCA - BOYACÁ
Municipal;TOCAIMA - CUNDINAMARCA
Municipal;TOCANCIPÁ - CUNDINAMARCA
Municipal;TODO EL DEPARTAMENTO - 
Municipal;TODO EL DEPARTAMENTO - AMAZONAS
Municipal;TODO EL DEPARTAMENTO - ANTIOQUIA
Municipal;TODO EL DEPARTAMENTO - ARAUCA
Municipal;TODO EL DEPARTAMENTO - ATLÁNTICO
Municipal;TODO EL DEPARTAMENTO - BOLÍVAR
Municipal;TODO EL DEPARTAMENTO - BOYACÁ
Municipal;TODO EL DEPARTAMENTO - CALDAS
Municipal;TODO EL DEPARTAMENTO - CAQUETÁ
Municipal;TODO EL DEPARTAMENTO - CASANARE
Municipal;TODO EL DEPARTAMENTO - CAUCA
Municipal;TODO EL DEPARTAMENTO - CESAR
Municipal;TODO EL DEPARTAMENTO - CHOCÓ
Municipal;TODO EL DEPARTAMENTO - CÓRDOBA
Municipal;TODO EL DEPARTAMENTO - CUNDINAMARCA
Municipal;TODO EL DEPARTAMENTO - GUAINÍA
Municipal;TODO EL DEPARTAMENTO - GUAVIARE
Municipal;TODO EL DEPARTAMENTO - HUILA
Municipal;TODO EL DEPARTAMENTO - LA GUAJIRA
Municipal;TODO EL DEPARTAMENTO - MAGDALENA
Municipal;TODO EL DEPARTAMENTO - META
Municipal;TODO EL DEPARTAMENTO - NARIÑO
Municipal;TODO EL DEPARTAMENTO - NORTE DE SANTANDER
Municipal;TODO EL DEPARTAMENTO - PUTUMAYO
Municipal;TODO EL DEPARTAMENTO - QUINDIO
Municipal;TODO EL DEPARTAMENTO - RISARALDA
Municipal;TODO EL DEPARTAMENTO - SAN ANDRÉS
Municipal;TODO EL DEPARTAMENTO - SANTANDER
Municipal;TODO EL DEPARTAMENTO - SUCRE
Municipal;TODO EL DEPARTAMENTO - TOLIMA
Municipal;TODO EL DEPARTAMENTO - VALLE DEL CAUCA
Municipal;TODO EL DEPARTAMENTO - VAUPÉS
Municipal;TODO EL DEPARTAMENTO - VICHADA
Municipal;TOGÜÍ - BOYACÁ
Municipal;TOLEDO - ANTIOQUIA
Municipal;TOLEDO - NORTE DE SANTANDER
Municipal;TONA - SANTANDER
Municipal;TÓPAGA - BOYACÁ
Municipal;TOPAIPÍ - CUNDINAMARCA
Municipal;TORIBÍO - CAUCA
Municipal;TORO - VALLE DEL CAUCA
Municipal;TOTA - BOYACÁ
Municipal;TOTORÓ - CAUCA
Municipal;TRINIDAD - CASANARE
Municipal;TRUJILLO - VALLE DEL CAUCA
Municipal;TUBARÁ - ATLÁNTICO
Municipal;TUCHÍN - CÓRDOBA
